run_id,seed,ubi_mode,alg,task,n_households,hidden_size,q_lr,p_lr,batch_size
173,1091,na,bmfac,gini,100,128,3.00E-04,3.00E-04,128
174,1091,ubi,bmfac,gini,100,128,3.00E-04,3.00E-04,128
175,1092,na,bmfac,gini,100,128,3.00E-04,3.00E-04,128
176,1092,ubi,bmfac,gini,100,128,3.00E-04,3.00E-04,128
177,1093,na,bmfac,gini,100,128,3.00E-04,3.00E-04,128
178,1093,ubi,bmfac,gini,100,128,3.00E-04,3.00E-04,128
179,1094,na,bmfac,gini,100,128,3.00E-04,3.00E-04,128
180,1094,ubi,bmfac,gini,100,128,3.00E-04,3.00E-04,128
181,1101,na,bmfac,gini,100,128,3.00E-04,3.00E-04,128
182,1101,ubi,bmfac,gini,100,128,3.00E-04,3.00E-04,128
183,1102,na,bmfac,gini,100,128,3.00E-04,3.00E-04,128
184,1102,ubi,bmfac,gini,100,128,3.00E-04,3.00E-04,128
185,1103,na,bmfac,gini,100,128,3.00E-04,3.00E-04,128
186,1103,ubi,bmfac,gini,100,128,3.00E-04,3.00E-04,128
187,1104,na,bmfac,gini,100,128,3.00E-04,3.00E-04,128
188,1104,ubi,bmfac,gini,100,128,3.00E-04,3.00E-04,128
189,1111,na,bmfac,gini,100,128,3.00E-04,3.00E-04,128
190,1111,ubi,bmfac,gini,100,128,3.00E-04,3.00E-04,128
191,1112,na,bmfac,gini,100,128,3.00E-04,3.00E-04,128
192,1112,ubi,bmfac,gini,100,128,3.00E-04,3.00E-04,128
193,1113,na,bmfac,gini,100,128,3.00E-04,3.00E-04,128
194,1113,ubi,bmfac,gini,100,128,3.00E-04,3.00E-04,128
195,1114,na,bmfac,gini,100,128,3.00E-04,3.00E-04,128
196,1114,ubi,bmfac,gini,100,128,3.00E-04,3.00E-04,128
197,1121,na,bmfac,gini,100,128,3.00E-04,3.00E-04,128
198,1121,ubi,bmfac,gini,100,128,3.00E-04,3.00E-04,128
199,1122,na,bmfac,gini,100,128,3.00E-04,3.00E-04,128
200,1122,ubi,bmfac,gini,100,128,3.00E-04,3.00E-04,128
201,1123,na,bmfac,gini,100,128,3.00E-04,3.00E-04,128
202,1123,ubi,bmfac,gini,100,128,3.00E-04,3.00E-04,128
203,1124,na,bmfac,gini,100,128,3.00E-04,3.00E-04,128
204,1124,ubi,bmfac,gini,100,128,3.00E-04,3.00E-04,128
205,1131,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
206,1131,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
207,1132,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
208,1132,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
209,1133,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
210,1133,ubi,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
211,1134,na,bmfac,gdp_gini,100,128,3.00E-04,3.00E-04,128
